FECHA,TEMPERATURA_MAXIMA,TEMPERATURA_MINIMA,DEMANDA_GAS
7/1/1996,28.1,19,4114
7/2/1996,26.7,21,4538
7/3/1996,27.9,20,4481
7/4/1996,29,20.4,4432
7/5/1996,36.7,20.4,4395
7/6/1996,27.8,22.3,4005
7/7/1996,33.8,20.6,3678
7/8/1996,29.1,16.6,4410
7/9/1996,26.8,16.2,4630
7/10/1996,28,17,4750
7/11/1996,28.2,17.6,4706
7/12/1996,28.6,19.4,4501
7/13/1996,28.5,18.4,3982
7/14/1996,29.4,20.3,3647
7/15/1996,31.2,17.2,4295
7/16/1996,31.8,17.8,4503
7/17/1996,32.3,19.2,4541
7/18/1996,32.8,18.6,4469
7/19/1996,33.5,20.5,4455
7/20/1996,29.8,22.6,4010
7/21/1996,30.5,20.6,3681
7/22/1996,30.2,19.2,4262
7/23/1996,29.6,20.6,4443
7/24/1996,34.8,21.4,4457
7/25/1996,33,23.3,4359
7/26/1996,30.6,21,4309
7/27/1996,30.5,21.2,3805
7/28/1996,29.8,20.4,3346
7/29/1996,30.6,19.8,3910
7/30/1996,30.8,22.4,4165
7/31/1996,29.6,22,4182
8/1/1996,30.3,21,4182
8/2/1996,30.6,21.6,4035
8/3/1996,29.6,22.4,3407
8/4/1996,30.6,21.8,3038
8/5/1996,31.4,21.4,3268
8/6/1996,31.2,20.2,3312
8/7/1996,31,22.4,3370
8/8/1996,30.8,21.4,3377
8/9/1996,31.2,21.2,3349
8/10/1996,33,20.7,2798
8/11/1996,31.8,21.4,2458
8/12/1996,30,22,2517
8/13/1996,28.8,24.8,2486
8/14/1996,27.2,23,2545
8/15/1996,28.3,21.8,2194
8/16/1996,30,21.8,2152
8/17/1996,32,20,1930
8/18/1996,34.6,20.2,1732
8/19/1996,31.2,20.4,1991
8/20/1996,30.4,23,2073
8/21/1996,32.4,22,2109
8/22/1996,30,20.4,2110
8/23/1996,36.8,20.4,2171
8/24/1996,30.4,22.2,1944
8/25/1996,29,20.6,1804
8/26/1996,29.8,21.6,2278
8/27/1996,29,21.4,2530
8/28/1996,26.6,20,2555
8/29/1996,24.5,18,2663
8/30/1996,25.6,18.3,2779
8/31/1996,27,16.6,2519
9/1/1996,27,17.1,2331
9/2/1996,29,17.6,3353
9/3/1996,24,17.3,4010
9/4/1996,26.5,19,4265
9/5/1996,32.5,19.7,4207
9/6/1996,31.9,19.6,4225
9/7/1996,31.8,17.8,3819
9/8/1996,28,16.8,3481
9/9/1996,24.2,16.2,4250
9/10/1996,22.4,15.5,4670
9/11/1996,18.8,15.4,4540
9/12/1996,25,15,4552
9/13/1996,26.2,13.4,4455
9/14/1996,25,17,3893
9/15/1996,27.3,18.8,3687
9/16/1996,26.5,16.3,4421
9/17/1996,29.5,17.2,4464
9/18/1996,26.5,15.2,4526
9/19/1996,28,17.4,4691
9/20/1996,25.5,18.4,4700
9/21/1996,26,15.6,4116
9/22/1996,26,12.4,3797
9/23/1996,28,15.5,4541
9/24/1996,26.8,16.4,4823
9/25/1996,27.4,15.4,4844
9/26/1996,24.8,15.5,4748
9/27/1996,30,13.4,4601
9/28/1996,26.3,16.2,4052
9/29/1996,26,16.4,3776
9/30/1996,25.4,18.4,4494
10/1/1996,28.4,15.8,4590
10/2/1996,27.4,13.2,4612
10/3/1996,24.6,13,4697
10/4/1996,24.8,11,4568
10/5/1996,23.6,12.2,4170
10/6/1996,21,12.6,3896
10/7/1996,23.8,9.4,4524
10/8/1996,25.4,9.5,4833
10/9/1996,24.4,10,4542
10/10/1996,23,13.6,4777
10/11/1996,23.8,14.2,4798
10/12/1996,22.6,15,4144
10/13/1996,22.6,14.8,3883
10/14/1996,18.5,15.2,4608
10/15/1996,24.5,13,4884
10/16/1996,25.2,14.2,4763
10/17/1996,24.5,13,4758
10/18/1996,29.2,15.8,4699
10/19/1996,28.2,15.6,4021
10/20/1996,27.5,13.2,3738
10/21/1996,27.5,14.6,4204
10/22/1996,27.2,12.6,4483
10/23/1996,22.5,12.2,4651
10/24/1996,22.5,16.4,4582
10/25/1996,21.6,13.8,4613
10/26/1996,22.6,17.2,4094
10/27/1996,24,13.4,3762
10/28/1996,24.6,10.6,4526
10/29/1996,28,13,4751
