Date,Open,High,Low,Close,Volume
2004-08-19 16:00:00,50.0,52.03,47.98,50.16,22353092
2004-08-20 16:00:00,50.74,54.54,50.25,54.15,11429498
2004-08-23 16:00:00,55.42,56.74,54.52,54.7,9140244
2004-08-24 16:00:00,55.65,55.8,51.78,52.43,7632224
2004-08-25 16:00:00,52.48,54.0,51.94,53.0,4599110
2004-08-26 16:00:00,52.55,53.97,52.33,53.95,3551168
2004-08-27 16:00:00,54.05,54.31,52.84,53.07,3108977
2004-08-30 16:00:00,52.74,52.74,51.0,51.0,2601620
2004-08-31 16:00:00,51.85,51.85,51.08,51.18,2463427
2004-09-01 16:00:00,51.37,51.48,49.83,50.12,4574578
2004-09-02 16:00:00,49.51,51.18,49.47,50.75,7567013
2004-09-03 16:00:00,50.13,50.87,49.66,50.0,2578705
2004-09-07 16:00:00,50.4,51.0,49.8,50.79,2927073
2004-09-08 16:00:00,50.73,51.51,50.25,51.15,2495226
2004-09-09 16:00:00,51.02,51.35,50.5,51.15,2032853
2004-09-10 16:00:00,50.8,53.28,50.65,52.66,4353885
2004-09-13 16:00:00,53.44,54.2,53.23,53.75,3927322
2004-09-14 16:00:00,53.84,56.0,53.39,55.74,5488357
2004-09-15 16:00:00,55.5,57.11,55.1,56.0,5362452
2004-09-16 16:00:00,56.05,57.9,55.82,56.98,4637786
2004-09-17 16:00:00,57.0,58.74,56.77,58.74,4748627
2004-09-20 16:00:00,58.46,60.8,58.38,59.68,5332562
2004-09-21 16:00:00,59.5,60.21,58.75,58.92,3617903
2004-09-22 16:00:00,58.4,59.83,58.4,59.19,3794393
2004-09-23 16:00:00,59.08,61.31,58.51,60.41,4273082
2004-09-24 16:00:00,61.34,62.05,59.88,59.91,4566707
2004-09-27 16:00:00,60.44,60.44,58.9,59.13,3536818
2004-09-28 16:00:00,60.52,63.7,60.1,63.43,8476027
2004-09-29 16:00:00,63.5,67.51,63.11,65.54,15274991
2004-09-30 16:00:00,65.11,66.15,64.5,64.8,6890125
2004-10-01 16:00:00,65.31,67.12,64.45,66.29,7571329
2004-10-04 16:00:00,67.91,68.43,67.01,67.53,6541875
2004-10-05 16:00:00,67.7,69.26,66.12,69.18,7507251
2004-10-06 16:00:00,69.22,69.22,68.0,68.54,6699883
2004-10-07 16:00:00,68.54,69.94,68.27,69.42,7066873
2004-10-08 16:00:00,69.75,69.84,68.51,68.86,5543874
2004-10-11 16:00:00,69.06,69.43,66.92,67.63,5249263
2004-10-12 16:00:00,67.3,68.8,66.7,68.7,5920143
2004-10-13 16:00:00,71.66,71.77,70.04,70.45,9894833
2004-10-14 16:00:00,70.45,71.19,69.28,71.0,5234304
2004-10-15 16:00:00,72.0,72.75,70.97,72.05,6604448
2004-10-18 16:00:00,71.59,74.59,70.6,74.58,7032780
